,City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
351,Pochutla,15.74,-96.47,87.01,70,90,6.35,MX,1598035639
352,Haines Junction,60.75,-137.51,53.1,83,100,2.84,CA,1598035445
353,Severo-Kuril'sk,50.68,156.12,52.32,73,0,12.24,RU,1598035639
354,Berlevåg,70.86,29.09,57.2,82,75,11.41,NO,1598035640
355,Ulladulla,-35.35,150.47,48.0,61,0,23.04,AU,1598035640
356,Polovinnoye,54.79,65.99,52.39,95,14,4.59,RU,1598035640
357,Gachsaran,30.36,50.8,89.6,25,0,1.01,IR,1598035640
358,Knysna,-34.04,23.05,53.6,93,6,5.82,ZA,1598035547
359,Elko,41.0,-115.5,89.01,6,0,5.57,US,1598035487
360,Beringovskiy,63.05,179.32,51.57,93,100,18.63,RU,1598035641
361,Kharp,66.8,65.81,52.65,87,28,7.99,RU,1598035642
362,Dabola,10.75,-11.12,74.55,86,100,1.72,GN,1598035642
363,Hobyo,5.35,48.53,76.46,80,7,26.04,SO,1598035642
364,Stephenville,32.22,-98.2,93.2,32,40,4.7,US,1598035643
365,Beira,-19.84,34.84,71.6,68,75,20.8,MZ,1598035643
366,Dubbo,-32.25,148.62,44.6,93,75,10.29,AU,1598035643
367,Lipin Bor,60.26,37.98,59.43,83,0,5.66,RU,1598035643
368,Kawalu,-7.38,108.21,71.19,86,99,0.38,ID,1598035644
369,Kabalo,-6.05,26.92,81.64,41,0,1.43,CD,1598035644
370,Santa Marta,11.24,-74.2,89.6,70,40,6.93,CO,1598035595
371,Cap-aux-Meules,47.38,-61.86,66.2,68,90,19.46,CA,1598035644
